Log_NR,Location,Latitude,Longitude,Code_grafana,Start,End,ID
1,VonRoll,46.95291,7.42252,02f54063d5c4,05-09-2023,NA,OLD
1,VonRoll,46.95291,7.42252,02f54063d5c4,05-09-2023,NA,live
2,Europaplatz,46.94333,7.40633,d60444822c13,05-10-2023,NA,OLD
2,Europaplatz,46.94333,7.40633,ea2d7117e366,05-10-2023,NA,OLD
2,Europaplatz,46.94333,7.40633,ea2d7117e366,10-04-2023,NA,OLD
2,Europaplatz,46.94333,7.40633,ea2d7117e366,05-10-2023,NA,live
7,Brunnhof,46.94479,7.42713,23c9b05d9c07,05-10-2023,NA,OLD
7,Brunnhof,46.94479,7.42713,23c9b05d9c07,05-10-2023,NA,live
8,Wankdorf ESP,46.968,7.46247,3b2fc2434bc8,06-06-2023,NA,OLD
8,Wankdorf ESP,46.968,7.46247,7637b479bc79,05-08-2023,06-01-2023,OLD
8,Wankdorf ESP,46.968,7.46247,cad06aabf023,06-01-2023,06-06-2023,OLD
8,Wankdorf ESP,46.968,7.46247,7637b479bc79,08-05-2023,01-06-2023,OLD
8,Wankdorf ESP,46.968,7.46247,cad06aabf023,01-06-2023,06-06-2023,OLD
8,Wankdorf ESP,46.968,7.46247,3b2fc2434bc8,06-06-2023,NA,live
9,Bremgartenfriedhof,46.9503,7.42015,3ff9a6a3e7cf,05-12-2023,NA,OLD
9,Bremgartenfriedhof,46.9503,7.42015,3ff9a6a3e7cf,05-12-2023,NA,live
10,Hintere Langgasse,46.95789,7.43541,1564ef396f0f,05-09-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,835e566128f7,05-24-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,1564ef396f0f,05-09-2023,05-24-2023,OLD
10,Hintere Laenggasse,46.95789,7.43541,835e566128f7,05-24-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,1564ef396f0f,09-05-2023,NA,OLD
10,Hintere Langgasse,46.95789,7.43541,835e566128f7,05-24-2023,NA,live
13,Egelsee,46.94469,7.46442,f1c322fed147,05-10-2023,NA,OLD
13,Egelsee,46.94469,7.46442,f1c322fed147,05-10-2023,NA,live
14,Helvetiaplatz,46.94381,7.44885,d84fa928944b,06-01-2023,NA,OLD
14,Helvetiaplatz,46.94381,7.44885,db897f1683fc,05-10-2023,06-01-2023,OLD
14,Helvetiaplatz,46.94381,7.44885,db897f1683fc,10-05-2023,01-06-2023,OLD
14,Helvetiaplatz,46.94381,7.44885,d84fa928944b,06-01-2023,NA,live
16,Bubenbergplatz,46.94728,7.43843,017e3348dd62,05-10-2023,NA,OLD
16,Bubenbergplatz,46.94728,7.43843,1564ef396f0f,06-16-2023,NA,OLD
16,Bubenbergplatz,46.94728,7.43843,017e3348dd62,05-10-2023,06-16-2023,OLD
16,Bubenbergplatz,46.94728,7.43843,017e3348dd62,10-05-2023,NA,OLD
16,Bubenbergplatz,46.94728,7.43843,1564ef396f0f,06-16-2023,NA,live
17,Rosengarten,46.95188,7.4602,e31e30079a9c,05-12-2023,NA,OLD
17,Rosengarten,46.95188,7.4602,e31e30079a9c,05-12-2023,NA,live
19,Galgenfeld Neubausiedlung,46.95063,7.46987,79ecf19c1a47,05-10-2023,NA,OLD
19,Galgenfeld Neubausiedlung,46.95063,7.46987,79ecf19c1a47,05-10-2023,NA,live
21,Gaswerk,46.93964,7.44166,5c50c3270b91,05-02-2024,NA,OLD
21,Gaswerk,46.93964,7.44166,5c50c3270b91,05-24-2023,02-05-2024,OLD
21,Gaswerk,46.93964,7.44166,2e15ffacceab,02-05-2024,NA,OLD
21,Gaswerk,46.93964,7.44166,5c50c3270b91,05-24-2023,NA,OLD
21,Gaswerk,46.93964,7.44166,2e15ffacceab,02-05-2024,NA,live
22,Matte Muhleplatz,46.94701,7.45583,b6fe2ab80321,05-24-2023,NA,OLD
22,Matte Muehleplatz,46.94701,7.45583,b6fe2ab80321,05-24-2023,NA,OLD
22,Matte Muhleplatz,46.94701,7.45583,b6fe2ab80321,05-24-2023,NA,live
23,Ostermundigen Ahornstrasse,46.95566,7.49879,84251a508492,05-11-2023,NA,OLD
23,Ostermundigen Ahornstrasse,46.95566,7.49879,84251a508492,05-11-2023,NA,live
25,Liebefeld,46.92781,7.42031,e15a04fd7037,05-09-2023,NA,OLD
25,Liebefeld,46.92781,7.42031,e15a04fd7037,05-09-2023,NA,live
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-10-2023,04-02-2024,OLD
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-02-2024,NA,OLD
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-10-2023,02-01-2024,OLD
26,Inselspital,46.94719,7.42571,c1c63230dd69,03-27-2024,NA,OLD
26,Inselspital,46.94719,7.42571,7b36c77aba0d,05-10-2023,NA,OLD
26,Inselspital,46.94719,7.42571,a6d098900d78,02-05-2024,NA,OLD
26,Inselspital,46.94719,7.42571,a3841c1842b4,03-27-2024,NA,live
