Log_NR;STANDORT;STANDORT_NEU;Code_grafana;Latitude;Longitude;LV_03_E;LV_03_N;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;End;Quali;New
1;VonRoll PH;VonRoll;02f54063d5c4;46.95291;7.42252;2598773.7;1200203.5;553.9;Hauptnetz;Uni Bern (VonRoll) & EWB;Lichtmasten;ja;09.05.2023;NA;1;NA
2;Europaplatz;Europaplatz;ea2d7117e366;46.94333;7.40633;2597540.6;1199138.8;555.5;Hauptnetz;BERNMOBIL;Masten;nein;10.05.2023;NA;1;NA
3;NA;Rathausgasse II: ca. Hohe Taube (Bar);NA;46.94851;7.44925;2600808.309;1199714.029;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;NA;Uettligen Umland;NA;46.98041;7.38733;2596096.727;1203261.664;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;NA;Sportplatz/Familiengarten vor Egelsee;NA;46.94564;7.46666;2602133.836;1199395.28;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;NA;Bumpliz Froschmattstrasse;NA;46.9402;7.38371;2595818.116;1198791.672;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;Kreuzung Brunmatt- Schwarztorstrasse;Brunnhof;23c9b05d9c07;46.94479;7.42713;2599124.4;1199300.1;528.6;Hauptnetz;TAB;Ampel;nein;10.05.2023;NA;1;NA
8;Wankdorf ESP;Wankdorf ESP;3b2fc2434bc8;46.968;7.46247;2601814.2;1201881.4;550.5;Hauptnetz;ewb;Strassenlampe;nein;06.06.2023;NA;1;NA
9;Bremgartenfriedhof;Bremgartenfriedhof;3ff9a6a3e7cf;46.9503;7.42015;2598592.61;1199912.8;552.4;Hauptnetz;Stadtgrun;Laterne;nein;12.05.2023;NA;1;NA
10;Langgasse, Neufeldstrasse 135;Hintere Langgasse;835e566128f7;46.95789;7.43541;2599754.9;1200756.72;558.5;Hauptnetz;ewb;Strassenlampe;nein;24.05.2023;NA;1;NA
11;NA;Viererfeld Veloweg;NA;46.96249;7.43982;2600090.402;1201268.152;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;NA;Egelsee Sud I: Gantrischstrasse 52;NA;46.94701;7.47194;2602535.759;1199547.736;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;Egelsee;Egelsee;f1c322fed147;46.94469;7.46442;2601963;1199289.4;549.1;Hauptnetz;??? (egal);Lampe;ja;10.05.2023;NA;1;NA
14;Helvetiaplatz;Helvetiaplatz;d84fa928944b;46.94381;7.44885;2600777.8;1199191.1;530.8;Hauptnetz;TAB;Verkehrsschild;ja;01.06.2023;NA;1;NA
15;NA;Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino;NA;46.94973;7.44418;2600422.324;1199849.622;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;Bubenbergplatz;Bubenbergplatz;1564ef396f0f;46.94728;7.43843;2599984.7;1199577.3;542.5;Hauptnetz;BERNMOBIL;Masten;nein;16.06.2023;NA;1;NA
17;Rosengarten;Rosengarten;e31e30079a9c;46.95188;7.4602;2601641.8;1200088.5;568.4;Hauptnetz;Stadtgrun;Laterne;nein;12.05.2023;NA;1;NA
18;NA;Aegertenstrasse 53;NA;46.93861;7.44738;2600666.056;1198613.424;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;Galgenfeld Neubausiedlung;Galgenfeld Neubausiedlung;79ecf19c1a47;46.95063;7.46987;2602378.1;1199950.3;579.2;Hauptnetz;ewb;Strassenlampe;nein;10.05.2023;NA;1;NA
20;NA;Umland Koniz;NA;46.903399;7.394688;2596651.653;1194699.961;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;Gaswerkareal Industrie EWB;Gaswerk;2e15ffacceab;46.93964;7.44166;2600230.5;1198727.9;502.9;Hauptnetz;Zaun,;Schild;nein;05.02.2024;NA;1;NA
22;Matte Muhleplatz;Matte Muhleplatz;b6fe2ab80321;46.94701;7.45583;2601309.3;1199546.8;499.5;Hauptnetz;TAB;Verkehrsschild;nein;24.05.2023;NA;1;NA
23;Ostermundigen, Ahornstr 16;Ostermundigen Ahornstrasse;84251a508492;46.95566;7.49879;2604579.1;1200510.9;574.6;Hauptnetz;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.2023;NA;1;NA
