Log_NR;Location;Latitude;Longitude;Code_grafana;LV_03_E;LV_03_N;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Doppel_Messnetz_23;Start;End;Quali
1;VonRoll;46.95291;7.42252;02f54063d5c4;2598773.7;1200203.5;553.9;Hauptnetz;Uni Bern (VonRoll) & EWB;Lichtmasten;ja;09.05.23;NA;1
2;Europaplatz;46.94333;7.40633;ea2d7117e366;2597540.6;1199138.8;555.5;Hauptnetz;BERNMOBIL;Masten;nein;10.05.23;NA;1
3;Rathausgasse II: ca. Hohe Taube (Bar);46.94851;7.44925;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;Uettligen Umland;46.98041;7.38733;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;Sportplatz/Familiengarten vor Egelsee;46.94564;7.46666;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;Bumpliz Froschmattstrasse;46.9402;7.38371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;Brunnhof;46.94479;7.42713;23c9b05d9c07;2599124.4;1199300.1;528.6;Hauptnetz;TAB;Ampel;nein;10.05.23;NA;1
8;Wankdorf ESP;46.968;7.46247;3b2fc2434bc8;2601814.2;1201881.4;550.5;Hauptnetz;ewb;Strassenlampe;nein;06.06.23;NA;1
9;Bremgartenfriedhof;46.9503;7.42015;3ff9a6a3e7cf;2598592.61;1199912.8;552.4;Hauptnetz;Stadtgrun;Laterne;nein;12.05.23;NA;1
10;Hintere Langgasse;46.95789;7.43541;835e566128f7;2599754.9;1200756.72;558.5;Hauptnetz;ewb;Strassenlampe;nein;24.05.23;NA;1
11;Viererfeld Veloweg;46.96249;7.43982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;Egelsee Sud I: Gantrischstrasse 52;46.94701;7.47194;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;Egelsee;46.94469;7.46442;f1c322fed147;2601963;1199289.4;549.1;Hauptnetz;??? (egal);Lampe;ja;10.05.23;NA;1
14;Helvetiaplatz;46.94381;7.44885;d84fa928944b;2600777.8;1199191.1;530.8;Hauptnetz;TAB;Verkehrsschild;ja;01.06.23;NA;1
15;Waisenhausplatz I (Ostseite): Vor Rest. Il Grissino;46.94973;7.44418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;Bubenbergplatz;46.94728;7.43843;1564ef396f0f;2599984.7;1199577.3;542.5;Hauptnetz;BERNMOBIL;Masten;nein;16.06.23;NA;1
17;Rosengarten;46.95188;7.4602;e31e30079a9c;2601641.8;1200088.5;568.4;Hauptnetz;Stadtgrun;Laterne;nein;12.05.23;NA;1
18;Aegertenstrasse 53;46.93861;7.44738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
19;Galgenfeld Neubausiedlung;46.95063;7.46987;79ecf19c1a47;2602378.1;1199950.3;579.2;Hauptnetz;ewb;Strassenlampe;nein;10.05.23;NA;1
20;Umland Koniz;46.9034;7.39469;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
21;Gaswerk;46.93964;7.44166;2e15ffacceab;2600230.5;1198727.9;502.9;Hauptnetz;Zaun,;Schild;nein;05.02.24;NA;1
22;Matte Muhleplatz;46.94701;7.45583;b6fe2ab80321;2601309.3;1199546.8;499.5;Hauptnetz;TAB;Verkehrsschild;nein;24.05.23;NA;1
23;Ostermundigen Ahornstrasse;46.95566;7.49879;84251a508492;2604579.1;1200510.9;574.6;Hauptnetz;Gemeinde Ostermundigen;Strassenlampe;nein;11.05.23;NA;1
25;Liebefeld;46.92781;7.42031;e15a04fd7037;2598604.9;1197412.9;567.2;Hauptnetz;Gemeinde Koniz;Lampe;ja;09.05.23;NA;1
26;Inselspital;46.94719;7.42571;a3841c1842b4;2599016.1;1199567.3;543.9;Hauptnetz;BERNMOBIL;Strassenlampe;ja;27.03.24;NA;1
28;Parkli bei Eigerplatz;46.94195;7.43094;86e2042d6857;2599414.5;1198984.7;524.5;Hauptnetz;ewb;Pfosten;nein;10.05.23;NA;1
29;Paul Klee, Senke Familienspaziergang;46.94861;7.47124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
30;Galgenfeld Industrie;46.95553;7.47194;634f68b0c0c6;2602535.5;1200495.3;563.6;Hauptnetz;ewb;Strassenlampe;nein;10.05.23;NA;1
31;Weiermatt;46.92041;7.40995;6e0aef9d54be;2597815.3;1196590.8;577.2;Hauptnetz;Gemeinde Koniz;Strassenlampe;nein;08.05.23;NA;1
32;Bremgartenwald;46.95739;7.42128;2343056bd60f;2598679.5;1200701.4;552.3;Hauptnetz;Burgergemeinde;Baum;ja;16.05.23;NA;1
33;Dahlholzliwald;46.93798;7.45656;44d4eaca941f;2601365.1;1198543.6;535.2;Hauptnetz;Burgergemeinde;Baum (Fichte);ja;NA;NA;1
34;Kasernenareal;46.95697;7.45801;d0e2d4b4c052;2601475.3;1200654.6;559.4;Hauptnetz;Kasernenareal;Strassenlampe;ja;08.05.23;NA;1
35;Egelsee Sud II: Burglenstrasse 28;46.94518;7.46887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
36;Wyttenbachstrasse;46.95518;7.44773;017f7c0231ae;2600682.8;1200455.9;542.9;Hauptnetz;TAB;Verkehrsschild 30, auf ca 2m75;nein;08.05.23;NA;1
37;Lorraine;46.95898;7.44513;8ba39c865b00;2660494.4;120887.6;538.1;Hauptnetz;ewb;Strassenlampe;ja;08.05.23;NA;1
38;Spiegel;46.92607;7.43739;20b8a59ebf60;2599905.3;1197218.9;619.8;Hauptnetz;Gemeinde Koniz;Strassenlampe;nein;09.05.23;NA;1
39;Weyermannshaus Industrie;46.949;7.40134;444fdf760afa;2597160.3;1199757.8;545.9;Hauptnetz;ewb;Strassenlampe;ja;12.05.23;NA;1
40;Rathausgasse I: St. Peter & Paul Kirche;46.94858;7.45193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
41;Monbijou-Park;46.94187;7.43462;8032b80c5ec1;2599694.5;1198975.9;521.4;Hauptnetz;Stadtgrun;Kandelaber FaLLT 2022 AUS;nein;10.05.23;NA;1
42;Gerechtigkeitsgasse;46.9481;7.45351;3299bbe93670;2601132.3;1199668.8;532.1;Hauptnetz;TAB;Verkehrsschild;nein;12.05.23;NA;1
45;Zytglogge;46.94819;7.4474;c454534c7d32;2600667.7;1199678.8;539.8;Hauptnetz;BERNMOBIL;Fahrplananzeigemasten;ja;16.03.24;NA;1
46;Autobahnausfahrt Wankdorf;46.96717;7.46968;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
47;Waisenhausplatz III (Mitte): Neben Brunnen;46.94984;7.44418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
48;Viererfeld 1 (Sportplatz);46.96512;7.43823;75a4a50dfb2c;2599969.6;1201560.1;573.2;Hauptnetz;Sportplatz Viererfeld;Scheinwerfermasten;nein;16.05.23;NA;1
50;Kreuzung Familienspaziergang / Laubeggstrasse;46.94644;7.46833;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
51;Bumpliz Stockacker;46.94302;7.39587;db1aaeaf755a;2596744.4;1199104.6;556.6;Hauptnetz;ewb;Laterne;ja;12.05.23;NA;1
52;Umland Bumpliz;46.93354;7.36084;1422c91c94ef;2594500.2;1198052.9;573.8;Hauptnetz;ewb;Stromleitungsmasten EWB40;ja;08.05.23;NA;1
53;Waffenweg;46.96173;7.45192;459a084688df;2601011.1;1201183.8;554.9;Hauptnetz;TAB;Verkehrsschild 2m85;nein;08.05.23;NA;1
54;Waisenhausplatz IV (Pocketpark): vor Starbucks;46.94879;7.44376;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
55;Bollwerk;46.95151;7.44082;36c36d0cf6fd;2600166.32;1200047.33;534.5;Hauptnetz;TAB;Ampel;nein;08.05.23;NA;1
57;Eigerplatz;46.94067;7.43141;ac6956757b85;2599450.3;1198842.4;526.1;Hauptnetz;BERNMOBIL;Masten;ja;10.05.23;NA;1
58;Murifeld;46.93919;7.47992;e96f9159cdca;2603143.9;1198678.2;553;Hauptnetz;ewb;Lampe;ja;10.05.23;NA;1
59;Schlossmatte Familiengarten;46.94211;7.41688;0e93f9aa1539;2598344.1;1199002.6;548.4;Hauptnetz;Stadtgrun;Fahnenmasten;ja;12.05.23;NA;1
60;Roschistrasse;46.93508;7.43887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
61;Westside Center;46.94555;7.37478;1b0dc4db66c0;2595139;1199387.4;554.2;Hauptnetz;ewb;Parklaterne;nein;12.05.23;NA;1
62;Felsenhaldenweg;46.97417;7.44122;6cf62e6cfad9;2600197.2;1202567;492.5;Hauptnetz;ewb;Strassenlampe;nein;09.05.23;NA;1
63;Wylergut, Jaunweg 11;46.96766;7.44922;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
