Log_name,Tmean,Tmax,Tmean_night,Tmin_night,Tmean_day,UHI,UHI_day,UHI_night,Tropical_nights,Gfroerli_nights,Summer_days,Hot_days,VHot_days,total_valid_days,valid_days_percent,Log_NR,STANDORT_NEU,NORD_CHTOPO,OST_CHTOPO
Log_1,20.906898875436138,27.69147377272682,17.241414587307855,15.606479776820219,22.88682415204988,0.5187418852992131,0.5600855263495036,1.1318831027858214,6,2,72,27,7,57,0.6263736263736264,1,VonRoll,46.95291,7.42252
Log_2,18.625973675074626,24.28403771671177,15.010492696862576,13.751328806490172,19.884538797544344,1.0886518538160874,1.0190549449372168,0.6112901926875378,0,1,8,1,0,15,0.16483516483516483,2,Europaplatz,46.94333,7.40633
Log_7,21.89946196064299,28.862175819145378,17.64039842329165,16.179932893475442,23.722404721924047,1.4230611048757205,1.3956660962236722,1.528984604971279,9,0,75,34,9,91,1,7,Brunnhof,46.94479,7.42713
Log_8,21.529739868815437,27.627672040581174,17.841769939690096,16.3697710951087,23.10382059238622,0.9141173484311377,0.7003315412848004,1.3661463004440364,9,0,58,25,7,78,0.8571428571428571,8,Wankdorf ESP,46.968,7.46247
Log_9,20.32470919081546,26.785230925393336,16.11986830670395,14.610737375647265,22.341701934307785,-0.05681663100550063,0.014963308607408085,0.010336822181918342,0,5,69,21,6,82,0.9010989010989011,9,Bremgartenfriedhof,46.9503,7.42015
Log_10,20.900474426276308,26.758044732409576,17.415634994274292,16.04795479348904,22.712264823741723,0.42407357050903544,0.3855261980413468,1.2672242213296803,8,1,67,21,2,7,0.07692307692307693,10,Hintere Langgasse,46.95789,7.43541
Log_13,20.647812391837643,26.940976929532663,16.404621724280663,15.030269255392904,22.439005906412078,0.1714115360703727,0.11226728071170305,0.29320790596029145,2,3,69,22,4,91,1,13,Egelsee,46.94469,7.46442
Log_14,21.76517650101435,28.22496493359391,17.429525103935227,15.909852352377255,23.656018517118053,1.288775645247076,1.3292798914176764,1.3199936194131938,7,0,74,30,9,91,1,14,Helvetiaplatz,46.94381,7.44885
Log_16,22.153044256148167,28.08285950054812,18.24002798676344,16.755289459629847,23.82623874273505,1.5022537965105636,1.403552974786511,1.682366004293259,9,0,58,27,7,76,0.8351648351648352,16,Bubenbergplatz,46.94728,7.43843
Log_17,20.721596379534446,27.69926228497984,16.659095969504957,15.170461519068802,22.459491719897333,0.2451955237671764,0.13275309419695766,0.5476821511845839,2,3,71,29,8,91,1,17,Rosengarten,46.95188,7.4602
Log_19,21.319275671724185,27.757481322370314,17.08150664148601,15.600558612888566,23.128966229243872,0.8428748159569147,0.8022276035434949,0.9719751569639749,4,3,71,26,7,91,1,19,Galgenfeld Neubausiedlung,46.95063,7.46987
Log_21,21.38648093895552,27.626166817598296,17.049042374198663,15.6783029148049,23.380210779708065,1.000571621278279,1.0534721540076877,0.9395108896766312,5,0,74,24,7,92,1.010989010989011,21,Gaswerk,46.93964,7.44166
Log_22,21.42195851996643,28.09273964000446,17.370151957705335,16.028565884144218,23.152381099641644,0.9455576641991594,0.8256424739412687,1.2606204731833042,8,0,73,29,8,91,1,22,Matte Muhleplatz,46.94701,7.45583
Log_23,20.740179835711047,27.77746477220041,16.459957697355488,15.040341039139392,22.555742366940432,0.2637789799437761,0.22900374124005762,0.35042621283345404,2,3,72,27,9,91,1,23,Ostermundigen Ahornstrasse,46.95566,7.49879
Log_25,20.46309756508924,26.72421078578094,16.070409769014766,14.737287742029649,22.385665973271387,-0.013303290678032464,0.05892734757100954,-0.03912171550726693,1,5,67,18,5,77,0.8461538461538461,25,Liebefeld,46.92781,7.42031
Log_26,21.34300510229374,27.52278582788997,17.435947668086325,15.92091099677902,23.027207294321467,0.8666042465264694,0.7004686686210917,1.3264161835642927,9,0,71,24,8,91,1,26,Inselspital,46.94719,7.42571
Log_28,21.45281910762443,28.202507952935868,17.294269330976444,15.86489214193544,23.3536468053377,1.065232550435663,1.0269081796373258,1.182855512656071,8,0,73,28,9,91,1,28,Parkli bei Eigerplatz,46.94195,7.43094
Log_30,21.827752040776982,28.42107270923934,17.55250895698608,16.066008538417904,23.65071325927849,1.3513511850097124,1.3239746335781133,1.4410951386657096,9,0,73,32,9,91,1,30,Galgenfeld Industrie,46.95553,7.47194
Log_31,20.093968848052157,27.237938738344262,14.942140481928774,13.614578299975417,22.287334763771867,-0.29519848541185617,-0.03940386192851067,-1.0627413525633842,1,12,71,23,6,87,0.9560439560439561,31,Weiermatt,46.92041,7.40995
Log_32,16.66449817296922,20.619940150725228,14.668801966408306,14.024269603640441,19.200257372072063,-3.4008701633770744,-2.29184812959952,-0.9120745026629491,0,5,20,9,0,1,0.01098901098901099,32,Bremgartenwald,46.95739,7.42128
Log_34,21.098524198757534,27.077922185622686,17.460503372196282,15.940938463018433,22.79453204995281,0.7073670779235438,0.4677934242524325,1.3509718876742494,10,0,69,23,6,91,1,34,Kasernenareal,46.95697,7.45801
Log_36,21.29848953051842,27.773499308368248,17.776335260829427,16.281811743475938,22.941243478482072,0.9058031082570297,0.6145048527816973,1.664921442509055,10,0,72,27,9,91,1,36,Wyttenbachstrasse,46.95518,7.44773
Log_37,21.567860744076427,27.5351691110446,17.82798023021885,16.450023235328796,23.3087219708036,1.0424178581435581,0.8917178524549059,1.3156880599909313,9,0,57,26,7,77,0.8461538461538461,37,Lorraine,46.95898,7.44513
Log_38,20.696808523200296,27.803758197577796,16.224492442758713,14.741380311217704,22.724760723095507,0.30728186460606893,0.3980220973951298,0.11496095823667923,2,4,72,27,9,91,1,38,Spiegel,46.92607,7.43739
Log_39,21.05503443932038,27.96104254332682,16.364470044408915,14.865434500648508,23.0376609881311,0.5786335835531099,0.7109223624307259,0.2530562260885432,1,4,72,26,8,91,1,39,Weyermannshaus Industrie,46.949,7.40134
Log_41,20.958095346718,27.111701909138393,16.70671606163082,15.31828744016639,22.778448001534127,0.4816944909507306,0.4517093758337494,0.5971845771087908,2,1,71,21,4,91,1,41,Monbijou-Park,46.94187,7.43462
Log_42,21.7207930870922,27.567213057027658,18.06563979458033,16.640227476803354,23.222096258976155,1.2443922313249292,0.8953576332757773,2.017217737366279,9,0,71,25,5,74,0.8131868131868132,42,Gerechtigkeitsgasse,46.9481,7.45351
Log_45,21.66239976900266,27.69996367689353,17.87997191362461,16.313652512265268,23.43403695877668,1.2698682606039353,1.1072983330763029,1.7704404291025773,9,0,74,28,7,91,1,45,Zytglogge,46.94819,7.4474
Log_48,20.64466901538785,26.977715959176248,16.44557525178212,14.899539243882293,22.426045599477867,0.16826815962057998,0.099306973777489,0.3360437672600886,2,4,68,23,6,91,1,48,Viererfeld 1 (Sportplatz),46.96512,7.43823
Log_51,20.97261119105864,27.03845860403425,17.028327085396537,15.586539386520975,22.653132682132366,0.49621033529136976,0.3263940564319885,0.9169132670761655,4,1,70,22,6,91,1,51,Bumpliz Stockacker,46.94302,7.39587
Log_53,21.472730088820132,28.37779182050083,17.81425609748121,16.289097097136942,23.174960899226697,1.0801097087773204,0.8482222735263227,1.7047246129591782,10,0,73,32,9,91,1,53,Waffenweg,46.96173,7.45192
Log_55,21.988226434362346,28.127680695015275,17.976046260209234,16.422584513419647,23.846852000277106,1.604440030796346,1.5201133745767292,1.8665147756872027,10,0,74,29,9,91,1,55,Bollwerk,46.95151,7.44082
Log_57,21.419544893721596,27.67006473346597,17.357915282630636,15.896268505710523,23.169796200356565,0.9431440379543254,0.843057574656188,1.2483837981086026,7,0,72,26,7,91,1,57,Eigerplatz,46.94067,7.43141
Log_58,20.455856759559644,26.818668086419137,16.480439022995235,14.861487058027407,22.278337703657197,0.07104769187939207,-0.04840092204317752,0.3690252046748625,1,3,68,25,5,91,1,58,Murifeld,46.93919,7.47992
Log_59,20.62346172865419,27.50476844434272,15.895057635607893,14.351105947369643,22.763925427446082,0.24501349184438367,0.43718680174570707,-0.21447384891413962,0,6,72,27,7,91,1,59,Schlossmatte Familiengarten,46.94211,7.41688
Log_61,20.612514717765414,27.815700359760786,16.015736651807227,14.416441927811558,22.576424628277824,0.13611386199814268,0.24968600257744689,-0.0937948327148036,1,5,70,26,7,91,1,61,Westside Center,46.94555,7.37478
Log_62,20.906631068917378,28.379022366204786,15.934421440266282,14.764861789750581,23.08376052147016,0.430230213150105,0.7570218957697846,-0.17511004425574955,0,1,74,28,9,35,0.38461538461538464,62,Felsenhaldenweg,46.97417,7.44122
Log_65,20.232775680336747,27.174498653097874,15.449668507725827,14.022713551670034,22.2536696903434,-0.2436251754305232,-0.07306893535697521,-0.6598629767962058,0,9,70,21,7,91,1,65,Ostermundigen Rorswil,46.96681,7.50376
Log_69,21.31227032454908,29.02779489527029,16.4301079679184,15.046349279011215,23.384781671439136,0.8358694687818062,1.0580430457387595,0.320576483396367,2,3,74,37,10,91,1,69,Eisenbahnquartier,46.93716,7.42317
Log_70,21.68598923471344,27.672070350725303,17.818234014637824,16.197841511837353,23.4849702497139,1.2955949846768433,1.1582316240135224,1.7087025301157912,8,0,72,27,8,92,1.010989010989011,70,Bundesplatz,46.94692,7.44353
Log_71,21.32876094020408,27.536986542206122,17.617886813082155,16.120605152905352,23.070955880461145,0.9377570073487805,0.744217254760768,1.508355328560121,9,0,71,27,8,91,1,71,Hirschengraben,46.94658,7.43786
Log_73,21.24635665522811,27.615836517186942,17.052391706597753,15.553276377375514,23.048907394984788,0.7699557994608388,0.7221687692844122,0.9409778882773792,4,1,72,27,7,91,1,73,Obstberg,46.94714,7.46407
Log_76,20.90555801734406,28.05897777822007,16.18809552989775,14.777952206089678,23.025686052091462,0.5230497371683293,0.6989474263910848,0.07856404537571915,0,2,75,28,9,91,1,76,Wabern Viktoriastrasse,46.93122,7.45326
Log_78,20.761280590853683,27.118731776249664,16.758400886559425,15.548022795651843,22.592877999248024,0.3664174963064609,0.2661393735476475,0.648869402037393,2,0,69,20,8,92,1.010989010989011,78,Dalmazibrucke,46.94445,7.44571
Log_79,20.441433317382533,27.466063348416288,15.306187141603079,13.685468435386335,22.59791536903614,-0.0349675383847372,0.27117674333576325,-0.8033443429189526,0,14,70,24,6,89,0.978021978021978,79,Umland Belp,46.89942,7.51184
Log_80,21.031900490343777,28.42324546127028,16.302062334840027,14.891238004252623,23.18129522937834,0.6508979660837332,0.8545566036779613,0.19253085031799594,2,2,76,31,9,91,1,80,Elfenau,46.93558,7.4695
Log_82,21.441003306135116,28.44730744607097,16.91549723900426,15.439932528585787,23.521679964263758,1.0600360877359423,1.1949413385633814,0.8059657544822277,4,1,74,35,9,91,1,82,Thunplatz,46.94059,7.45824
Log_83,21.555898675834484,28.04226749065385,17.34319463394182,15.923755477491284,23.34544067239557,1.0794978200672138,1.0187020466951937,1.231780815621448,8,0,73,27,8,91,1,83,Stadtlabor,46.96311,7.46257
Log_86,21.33318585999026,28.164571868334544,16.989212642333158,15.512844115822611,23.31367918365592,0.953938917505541,0.986940557955545,0.8777988240127855,4,1,73,30,9,91,1,86,Ostermundigen Lotschenstrasse,46.95309,7.48719
Log_87,20.372837247651702,27.70315646136648,16.069122622192737,15.019384762871482,22.29559487882932,-0.025472815421982303,-0.031143746871056456,-0.042291196127635815,0,0,73,25,6,91,1,87,Engehalde Stauwehr,46.96546,7.44503
Log_89,17.555696504455923,22.64924923151136,14.808688370506006,13.3299509168129,18.790039605330524,-1.3039099429276937,-1.9126729277454406,0.46277603994472843,0,2,5,0,0,28,0.3076923076923077,89,Gurten Kulm,46.91833,7.43971
Log_98,20.4456361340164,26.89968953759295,15.922713370602086,14.325229880482052,22.353329145462773,-0.030764721750870916,0.026590519762396944,-0.18870044771828592,0,4,67,22,5,91,1,98,Zollikofen 2m,46.99079,7.46407
Log_101,15.98274685086765,17.965018692301825,14.791562009247603,14.365835049973297,16.412139261505697,-3.208854880173595,-4.40751465297104,-0.3337114809039702,0,2,5,0,0,9,0.0989010989010989,101,Steinholzliwald,46.93514,7.42805
Log_102,21.349452128964533,28.740550187254737,17.118021533153637,15.699796159370532,23.30068318323665,0.9702665595968092,0.9739445575362732,1.008490048631604,9,2,76,36,9,91,1,102,Vordere Langgasse,46.95171,7.43714
Log_111,21.736090227278986,28.371833019349612,17.75009091286643,16.256849973960147,23.44756659149612,1.2596893715117137,1.120827965795742,1.6405594283443958,10,0,73,29,9,91,1,111,Tellstrasse,46.96017,7.46146
Log_112,21.267871065761994,27.581859676707765,16.99614113087345,15.454474210594405,23.22732949430501,0.8872608042824367,0.9005908686046352,0.8866096463514197,4,1,73,27,7,91,1,112,Ausserholligen Post,46.94755,7.40188
Log_113,21.263174478074088,27.591873409827475,17.35097529833991,15.86033516773314,23.04124842996066,0.8774947350786331,0.7145098042602849,1.2414438138178783,8,1,72,27,8,90,0.989010989010989,113,Ausserholligen ewb,46.94542,7.40642
Log_116,20.792321905758286,27.661232107329614,16.13638335892699,14.654565598866851,22.76731714278571,0.31592104999101595,0.44057851708533313,0.024969540606619666,1,5,71,26,7,91,1,116,Ansermetplatz,46.94787,7.37708
Log_117,17.980944054376785,25.555647876121824,14.360400262952732,13.208925273643384,20.263222159387357,-2.099686734750937,-1.657177147204417,-1.3697310291918243,0,6,44,6,1,1,0.01098901098901099,117,Koniztal,46.90961,7.44248
Log_124,21.448590630589617,27.567637273146445,17.608405317091286,16.007783759756652,23.238811385796875,1.0537389154921974,0.9120727600965003,1.4988738325692545,8,0,73,25,7,91,1,124,Barenplatz,46.94814,7.44366
Log_126,21.415273654444746,27.512867463657116,17.715423549801425,16.1773206152703,23.013767245440853,0.9388727986774764,0.6870286197404756,1.604009731481054,10,0,72,25,7,91,1,126,Optingenstrasse,46.95597,7.45045
Log_127,21.774261173617973,27.939855978308714,17.835300797490333,16.340355800584486,23.460533764048396,1.2978603178507007,1.1337951383480191,1.723886979169961,10,0,71,27,7,91,1,127,Breitenrainplatz,46.95838,7.45415
Log_128,21.516730490186593,28.638920343890167,17.216529457929084,15.797098175743777,23.32378804985738,0.8659400305489918,0.9011022819088399,0.6588674754589049,3,2,58,30,9,76,0.8351648351648352,128,Schosshaldenfriedhof,46.95342,7.47165
Log_129,22.292108104640967,29.02525948630171,18.342291832659534,16.77352957762364,24.13176937147,1.9015666302188932,1.8050307457696224,2.2327603481375005,14,0,76,37,13,91,1,129,Laupenstrasse,46.94734,7.43639
Log_141,20.794676874473524,27.448456784689334,16.496367539405995,14.872952056816636,22.619754426328406,0.31827601870625216,0.2930158006280289,0.3868360548839611,1,4,71,26,6,92,1.010989010989011,141,Viererfeld 2 (Schacht),46.96271,7.43688
Log_142,20.455188001004664,27.30795640614821,16.189097971760887,14.609460261858084,22.27414542279878,-0.021212854762608528,-0.052593202901593104,0.07956648723885626,0,3,69,23,7,91,1,142,Viererfeld 3 (Strasse Sud),46.96286,7.44009
Log_143,20.644792194317372,27.31690640937608,16.681727573383988,15.16343739322831,22.34629752433883,0.16839133855010077,0.019558898638453715,0.5721960888619544,2,2,68,27,7,91,1,143,Viererfeld 4 (Strasse Nord),46.96523,7.44165
Log_144,20.64891504225308,27.20683604180972,16.447636095285905,14.928100152258502,22.431629579317846,0.17251418648580824,0.10489095361746946,0.338104610763871,2,3,70,21,6,91,1,144,Viererfeld 5 (Mittelfeld),46.96178,7.43481
Log_151,21.854672693885806,28.074564371510743,18.119006432264616,16.639868009460596,23.57195365700484,1.4687730927947635,1.245215031304465,2.007592613944243,16,0,74,30,8,91,1,151,Ostermundigen BareTower,46.95563,7.48114
Log_152,21.88011708127389,28.94774371885839,17.359870662959224,15.949791183602523,23.792530301802433,1.4037162255066187,1.465791676102058,1.2484568446388506,9,0,75,34,9,91,1,152,Ostermundigen Moosweg,46.95813,7.48807
Log_153,21.263088888578825,27.992045405541678,17.06002896888871,15.648508430609597,23.18555390714789,0.8828075512490637,0.8588152814475167,0.9486151505683367,5,1,74,32,9,91,1,153,Ostermundigen Wegmuhlegassli,46.95806,7.49371
Log_154,20.720884729357785,26.998537953499792,16.616219992822053,15.192462706618766,22.595279873078766,0.33711002348583047,0.2685412473783904,0.5066885083000197,3,3,71,24,6,91,1,154,Ostermundigen Oberfeld,46.9581,7.49792
Log_155,21.185100745014264,27.699761137618772,16.880205007481837,15.308215656419902,23.003644674213252,0.708699889246992,0.6769060485128752,0.7687911891614664,3,1,71,27,8,91,1,155,Ostermundigen Milchstrasse,46.96241,7.48201
Log_156,21.093697357648395,28.209445002836187,16.795529816401086,15.241152669831255,23.054574998181682,0.71387277248118,0.7278363724813065,0.6859983318790532,2,2,74,30,9,91,1,156,Ostermundigen Tiefenmosli,46.94801,7.48411
Log_161,21.137397813928292,26.90882070980989,17.310536443420414,15.893569151565211,22.890664209569078,0.7530062386202975,0.5639255838687026,1.2010049588983807,8,0,71,24,4,90,0.989010989010989,161,Ostermundigen Schermenweg,46.95821,7.48052
Log_162,21.390278266223802,28.427621372803337,17.175230013541476,15.836493145849593,23.320791259321023,0.9936948066202674,0.9898882967095742,0.9074525175757847,6,0,65,35,9,80,0.8791208791208791,162,Ostermundigen Poststrasse,46.95867,7.48222
Log_99,20.47640085576727,26.7958108116039,16.109531484522034,14.528363536245154,22.326738625700376,0,0,0,1,4,65,19,5,91,1,99,Zollikofen 3m,46.99079,7.46407
