Log_NR,STANDORT,STANDORT_NEU,Code_grafana,NORD_CHTOPO,OST_CHTOPO,LV_03_N,LV_03_E,HuM,Art,ZUSTAENDIG,BEFESTIGUNG,Doppel_Messnetz_23,Start,End,Quali
1,VonRoll PH,VonRoll,02f54063d5c4,4695291,742252,25987737,12002035,5539,Hauptnetz,Uni Bern (VonRoll) & EWB,Lichtmasten,ja,2023-05-09,NA,1
2,Europaplatz,Europaplatz,d60444822c13,4694333,740633,25975406,11991388,5555,Hauptnetz,BERNMOBIL,Masten,nein,2023-05-10,NA,1
7,Kreuzung Brunmatt- Schwarztorstrasse,Brunnhof,23c9b05d9c07,4694479,742713,25991244,11993001,5286,Hauptnetz,TAB,Ampel,nein,2023-05-10,NA,1
8,Wankdorf ESP,Wankdorf ESP,3b2fc2434bc8,46968,746247,26018142,12018814,5505,Hauptnetz,ewb,Strassenlampe,nein,2023-06-06,NA,1
9,Bremgartenfriedhof,Bremgartenfriedhof,3ff9a6a3e7cf,469503,742015,259859261,11999128,5524,Hauptnetz,Stadtgrun,Laterne,nein,2023-05-12,NA,1
10,"Langgasse, Neufeldstrasse 135",Hintere Langgasse,835e566128f7,4695789,743541,25997549,20075672,5585,Hauptnetz,ewb,Strassenlampe,nein,2023-05-24,NA,1
13,Egelsee,Egelsee,f1c322fed147,4694469,746442,2601963,11992894,5491,Hauptnetz,??? (egal),Lampe,ja,2023-05-10,NA,1
14,Helvetiaplatz,Helvetiaplatz,d84fa928944b,4694381,744885,26007778,11991911,5308,Hauptnetz,TAB,Verkehrsschild,ja,2023-06-01,NA,1
16,Bubenbergplatz,Bubenbergplatz,1564ef396f0f,4694728,743843,25999847,11995773,5425,Hauptnetz,BERNMOBIL,Masten,nein,2023-06-16,NA,1
17,Rosengarten,Rosengarten,e31e30079a9c,4695188,74602,26016418,12000885,5684,Hauptnetz,Stadtgrun,Laterne,nein,2023-05-12,NA,1
19,Galgenfeld Neubausiedlung,Galgenfeld Neubausiedlung,79ecf19c1a47,4695063,746987,26023781,11999503,5792,Hauptnetz,ewb,Strassenlampe,nein,2023-05-10,NA,1
21,Gaswerkareal Industrie EWB,Gaswerk,5c50c3270b91,4693964,744166,26002305,11987279,5029,Hauptnetz,"Zaun,",Schild,nein,2023-05-24,NA,1
22,Matte Muhleplatz,Matte Muhleplatz,b6fe2ab80321,4694701,745583,26013093,11995468,4995,Hauptnetz,TAB,Verkehrsschild,nein,2023-05-24,NA,1
23,"Ostermundigen, Ahornstr 16",Ostermundigen Ahornstrasse,84251a508492,4695566,749879,26045791,12005109,5746,Hauptnetz,Gemeinde Ostermundigen,Strassenlampe,nein,2023-05-11,NA,1
25,Koniz Neubausiedlung,Liebefeld,e15a04fd7037,4692781,742031,25986049,11974129,5672,Hauptnetz,Gemeinde Koniz,Lampe,ja,2023-05-09,NA,1
26,Inselspital,Inselspital,7b36c77aba0d,4694719,742571,25990161,11995673,5439,Hauptnetz,BERNMOBIL,Strassenlampe,ja,2023-05-10,NA,1
28,Parkli bei Eigerplatz,Parkli bei Eigerplatz,86e2042d6857,4694195,743094,25994145,11989847,5245,Hauptnetz,ewb,Pfosten,nein,2023-05-10,NA,1
30,Galgenfeld Industrie,Galgenfeld Industrie,634f68b0c0c6,4695553,747194,26025355,12004953,5636,Hauptnetz,ewb,Strassenlampe,nein,2023-05-10,NA,1
31,Koniz Aussenquartier,Weiermatt,6e0aef9d54be,4692041,740995,25978153,11965908,5772,Hauptnetz,Gemeinde Koniz,Strassenlampe,nein,2023-05-08,NA,1
32,Bremgartenwald,Bremgartenwald,2343056bd60f,4695739,742128,25986795,12007014,5523,Hauptnetz,Burgergemeinde,Baum,ja,2023-05-16,NA,1
33,Dahlholzli-Wald,Dahlholzliwald,44d4eaca941f,4693798,745656,26013651,11985436,5352,Hauptnetz,Burgergemeinde,Baum (Fichte),ja,NA,NA,1
34,Kasernenareal,Kasernenareal,d0e2d4b4c052,4695697,745801,26014753,12006546,5594,Hauptnetz,Kasernenareal,Strassenlampe,ja,2023-05-08,NA,1
36,Viktoriarain,Wyttenbachstrasse,017f7c0231ae,4695518,744773,26006828,12004559,5429,Hauptnetz,TAB,"Verkehrsschild 30, auf ca 2m75",nein,2023-05-08,NA,1
37,"Lorraine, Steckweg 15",Lorraine,8ba39c865b00,4695898,744513,26604944,1208876,5381,Hauptnetz,ewb,Strassenlampe,ja,2023-05-08,NA,1
38,Spiegel,Spiegel,20b8a59ebf60,4692607,743739,25999053,11972189,6198,Hauptnetz,Gemeinde Koniz,Strassenlampe,nein,2023-05-09,NA,1
39,Weyermannshaus Industrie,Weyermannshaus Industrie,444fdf760afa,46949,740134,25971603,11997578,5459,Hauptnetz,ewb,Strassenlampe,ja,2023-05-12,NA,1
41,Monbijou-Park,Monbijou-Park,8032b80c5ec1,4694187,743462,25996945,11989759,5214,Hauptnetz,Stadtgrun,Kandelaber FaLLT 2022 AUS,nein,2023-05-10,NA,1
