Log_NR;NAME;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_E;LV_03_N;Start
1;VonRoll;02f54063d5c4;46.95291;7.42252;2598773.7;1200203.5;09.05.2023
2;Europaplatz;ea2d7117e366;46.94333;7.40633;2597540.6;1199138.8;04.10.2023
7;Brunnhof;23c9b05d9c07;46.94479;7.42713;2599124.4;1199300.1;10.05.2023
8;Wankdorf ESP;3b2fc2434bc8;46.968;7.46247;2601814.2;1201881.4;06.06.2023
9;Bremgartenfriedhof;3ff9a6a3e7cf;46.9503;7.42015;2598592.61;1199912.8;12.05.2023
10;Hintere Laenggasse;835e566128f7;46.95789;7.43541;2599754.9;1200757;24.05.2023
13;Egelsee;f1c322fed147;46.94469;7.46442;2601963;1199289.4;10.05.2023
14;Helvetiaplatz;d84fa928944b;46.94381;7.44885;2600777.8;1199191.1;01.06.2023
16;Bubenbergplatz;1564ef396f0f;46.94728;7.43843;2599984.7;1199577.3;16.06.2023
17;Rosengarten;e31e30079a9c;46.95188;7.4602;2601641.8;1200088.5;12.05.2023
19;Galgenfeld Neubausiedlung;79ecf19c1a47;46.95063;7.46987;2602378.1;1199950.3;10.05.2023
21;Gaswerk;2e15ffacceab;46.93964;7.44166;2600230.5;1198727.9;05.02.2024
22;Matte Muehleplatz;b6fe2ab80321;46.94701;7.45583;2601309.3;1199546.8;24.05.2023
23;Ostermundigen Ahornstrasse;84251a508492;46.95566;7.49879;2604579.1;1200510.9;11.05.2023
25;Liebefeld;e15a04fd7037;46.92781;7.42031;2598604.9;1197412.9;09.05.2023
26;Inselspital;a6d098900d78;46.94719;7.42571;2599016.1;1199567.3;05.02.2024
28;Paerkli bei Eigerplatz;86e2042d6857;46.94195;7.43094;2599414.5;1198984.7;10.05.2023
30;Galgenfeld Industrie;634f68b0c0c6;46.95553;7.47194;2602535.5;1200495.3;10.05.2023
31;Weiermatt;6e0aef9d54be;46.92041;7.40995;2597815.3;1196590.8;08.05.2023
32;Bremgartenwald;2343056bd60f;46.95764;7.42177;2598717;1200729;16.05.2023
33;Dahlhoelzliwald;44d4eaca941f;46.93798;7.45656;2601365.1;1198543.6;10.05.2023
34;Kasernenareal;d0e2d4b4c052;46.95697;7.45801;2601475.3;1200654.6;08.05.2023
36;Wyttenbachstrasse;017f7c0231ae;46.95518;7.44773;2600682.8;1200455.9;08.05.2023
37;Lorraine;8ba39c865b00;46.95898;7.44513;2600494;1200878;08.05.2023
38;Spiegel;20b8a59ebf60;46.92607;7.43739;2599905.3;1197218.9;09.05.2023
39;Weyermannshaus Industrie;444fdf760afa;46.949;7.40134;2597160.3;1199757.8;12.05.2023
41;Monbijou-Park;8032b80c5ec1;46.94187;7.43462;2599694.5;1198975.9;10.05.2023
42;Gerechtigkeitsgasse;3299bbe93670;46.9481;7.45351;2601132.3;1199668.8;12.05.2023
45;Zytglogge;c454534c7d32;46.94819;7.4474;2600667.7;1199678.8;16.03.2024
48;Viererfeld 1 (Sportplatz);20e3bdd594dd;46.96512;7.43823;2599969.6;1201560.1;16.05.2023
51;Buempliz Stockacker;db1aaeaf755a;46.94302;7.39587;2596744.4;1199104.6;12.05.2023
52;Umland Buempliz;;46.93447;7.36084;2594076;1198156;
53;Waffenweg;459a084688df;46.96173;7.45192;2601011.1;1201183.8;08.05.2023
55;Bollwerk;36c36d0cf6fd;46.95151;7.44082;2600166.32;1200047.33;08.05.2023
57;Eigerplatz;ac6956757b85;46.94067;7.43141;2599450.3;1198842.4;10.05.2023
58;Murifeld;e96f9159cdca;46.93919;7.47992;2603143.9;1198678.2;10.05.2023
59;Schlossmatte Familiengarten;0e93f9aa1539;46.94211;7.41688;2598344.1;1199002.6;12.05.2023
61;Westside Center;1b0dc4db66c0;46.94555;7.37478;2595139;1199387.4;12.05.2023
62;Felsenhaldenweg;6cf62e6cfad9;46.97417;7.44122;2600197.2;1202567;09.05.2023
65;Ostermundigen Roerswil;4eb78fa39636;46.96681;7.50376;2604956.8;1201749.9;11.05.2023
68;Gleisfeld Welle;;46.94838;7.43359;2599616.4;1199700.1;
69;Eisenbahnquartier;15c44cc1729a;46.93716;7.42317;2598822.7;1198452.8;09.05.2023
70;Bundesplatz;44dd6ed61b66;46.94692;7.44353;2600373.1;1199537.1;12.05.2023
71;Hirschengraben;83b8067d27a2;46.94658;7.43786;2599941.2;1199499.8;12.05.2023
73;Obstberg;64520be86594;46.94714;7.46407;2601936.8;1199561.8;10.05.2023
76;Wabern Viktoriastrasse;cbb89f9d130c;46.93122;7.45326;2601114;1197791.9;24.05.2023
78;Dalmazibruecke;e3594371a27b;46.94445;7.44571;2600538.5;1199262.1;24.05.2023
79;Umland Belp;e1ccbf0d3c96;46.89942;7.51184;2605578;1194258.9;09.05.2023
