Log_NR;NAME;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_E;LV_03_N;Arbeit
1;VonRoll;02f54063d5c4;46.95291;7.42252;2598773.7;1200203.5;Montage Y
2;Europaplatz;ea2d7117e366;46.94333;7.40633;2597540.6;1199138.8;Montage Y
8;Wankdorf ESP;3b2fc2434bc8;46.968;7.46247;2601814.2;1201881.4;Montage Y
9;Bremgartenfriedhof;3ff9a6a3e7cf;46.9503;7.42015;2598592.61;1199912.8;Montage Y
21;Gaswerk;2e15ffacceab;46.93964;7.44166;2600230.5;1198727.9;nur Fotos
22;Matte Muehleplatz;b6fe2ab80321;46.94701;7.45583;2601309.3;1199546.8;Montage Y
26;Inselspital;;46.94719;7.42571;2599016;1199567;neuer Logger
30;Galgenfeld Industrie;634f68b0c0c6;46.95553;7.47194;2602535.5;1200495.3;Montage Y
37;Lorraine;8ba39c865b00;46.95898;7.44513;2600494;1200878;Montage Y
39;Weyermannshaus Industrie;444fdf760afa;46.949;7.40134;2597160.3;1199757.8;Montage Y
51;Buempliz Stockacker;db1aaeaf755a;46.94302;7.39587;2596744.4;1199104.6;Montage Y
52;Umland Buempliz;;46.93447;7.36084;2594076;1198156;neuer Logger
59;Schlossmatte Familiengarten;0e93f9aa1539;46.94211;7.41688;2598344.1;1199002.6;Montage Y
61;Westside Center;1b0dc4db66c0;46.94555;7.37478;2595139;1199387.4;Montage Y
68;Gleisfeld Welle;;46.94838;7.43359;2599616.4;1199700.1;neuer Logger
78;Dalmazibruecke;e3594371a27b;46.94445;7.44571;2600538.5;1199262.1;nur Fotos
87;Engehalde Stauwehr;307b8e4c1a42;46.96546;7.44503;2600486.5;1201598.6;Montage Y
89;Gurten Kulm;7462a9be23a4;46.91833;7.43971;2600082;1196359.1;nur Fotos
101;Steinhoelzliwald;213cff7114f2;46.93514;7.42805;2599194.5;1198227.6;nur Fotos
112;Ausserholligen Post;f9c2d2bbe84f;46.94755;7.40188;2597202.2;1199607.9;Montage Y
113;Ausserholligen ewb;4f5e9a2b9675;46.94542;7.40642;2597547;1199371;Montage Y
116;Ansermetplatz;061bc5815e5a;46.94787;7.37708;2595313.7;1199645;Montage Y
155;Ostermundigen Milchstrasse;5d30f69ffcbf;46.96241;7.48201;2603301.6;1201260.5;Montage Y
