"","Log_NR","STANDORT","NORD_CHTOPO","OST_CHTOPO","Code_grafana","LV_03_E","LV_03_N","HuM","Art","ZUSTAENDIG","BEFESTIGUNG","Doppel_Messnetz_23","Start","End","Quali"
"1",1,"VonRoll",4695291,742252,"02f54063d5c4",25987737,12002035,5539,"Hauptnetz","Uni Bern (VonRoll) & EWB","Lichtmasten","ja","09.05.23",NA,1
"2",2,"Europaplatz",4694333,740633,"ea2d7117e366",25975406,11991388,5555,"Hauptnetz","BERNMOBIL","Masten","nein","10.05.23",NA,1
"3",7,"Brunnhof",4694479,742713,"23c9b05d9c07",25991244,11993001,5286,"Hauptnetz","TAB","Ampel","nein","10.05.23",NA,1
"4",8,"Wankdorf ESP",46968,746247,"3b2fc2434bc8",26018142,12018814,5505,"Hauptnetz","ewb","Strassenlampe","nein","06.06.23",NA,1
"5",9,"Bremgartenfriedhof",469503,742015,"3ff9a6a3e7cf",259859261,11999128,5524,"Hauptnetz","Stadtgrun","Laterne","nein","12.05.23",NA,1
"6",10,"Hintere Langgasse",4695789,743541,"835e566128f7",25997549,120075672,5585,"Hauptnetz","ewb","Strassenlampe","nein","24.05.23",NA,1
"7",13,"Egelsee",4694469,746442,"f1c322fed147",2601963,11992894,5491,"Hauptnetz","??? (egal)","Lampe","ja","10.05.23",NA,1
"8",14,"Helvetiaplatz",4694381,744885,"d84fa928944b",26007778,11991911,5308,"Hauptnetz","TAB","Verkehrsschild","ja","01.06.23",NA,1
"9",16,"Bubenbergplatz",4694728,743843,"1564ef396f0f",25999847,11995773,5425,"Hauptnetz","BERNMOBIL","Masten","nein","16.06.23",NA,1
"10",17,"Rosengarten",4695188,74602,"e31e30079a9c",26016418,12000885,5684,"Hauptnetz","Stadtgrun","Laterne","nein","12.05.23",NA,1
"11",19,"Galgenfeld Neubausiedlung",4695063,746987,"79ecf19c1a47",26023781,11999503,5792,"Hauptnetz","ewb","Strassenlampe","nein","10.05.23",NA,1
"12",21,"Gaswerk",4693964,744166,"2e15ffacceab",26002305,11987279,5029,"Hauptnetz","Zaun,","Schild","nein","05.02.24",NA,1
"13",22,"Matte Muhleplatz",4694701,745583,"b6fe2ab80321",26013093,11995468,4995,"Hauptnetz","TAB","Verkehrsschild","nein","24.05.23",NA,1
"14",23,"Ostermundigen Ahornstrasse",4695566,749879,"84251a508492",26045791,12005109,5746,"Hauptnetz","Gemeinde Ostermundigen","Strassenlampe","nein","11.05.23",NA,1
"15",25,"Liebefeld",4692781,742031,"e15a04fd7037",25986049,11974129,5672,"Hauptnetz","Gemeinde Koniz","Lampe","ja","09.05.23",NA,1
"16",26,"Inselspital",4694719,742571,"a3841c1842b4",25990161,11995673,5439,"Hauptnetz","BERNMOBIL","Strassenlampe","ja","27.03.24",NA,1
"17",28,"Parkli bei Eigerplatz",4694195,743094,"86e2042d6857",25994145,11989847,5245,"Hauptnetz","ewb","Pfosten","nein","10.05.23",NA,1
"18",30,"Galgenfeld Industrie",4695553,747194,"634f68b0c0c6",26025355,12004953,5636,"Hauptnetz","ewb","Strassenlampe","nein","10.05.23",NA,1
"19",31,"Weiermatt",4692041,740995,"6e0aef9d54be",25978153,11965908,5772,"Hauptnetz","Gemeinde Koniz","Strassenlampe","nein","08.05.23",NA,1
"20",32,"Bremgartenwald",4695739,742128,"2343056bd60f",25986795,12007014,5523,"Hauptnetz","Burgergemeinde","Baum","ja","16.05.23",NA,1
"21",33,"Dahlholzliwald",4693798,745656,"44d4eaca941f",26013651,11985436,5352,"Hauptnetz","Burgergemeinde","Baum (Fichte)","ja",NA,NA,1
"22",34,"Kasernenareal",4695697,745801,"d0e2d4b4c052",26014753,12006546,5594,"Hauptnetz","Kasernenareal","Strassenlampe","ja","08.05.23",NA,1
"23",36,"Wyttenbachstrasse",4695518,744773,"017f7c0231ae",26006828,12004559,5429,"Hauptnetz","TAB","Verkehrsschild 30, auf ca 2m75","nein","08.05.23",NA,1
"24",37,"Lorraine",4695898,744513,"8ba39c865b00",26604944,1208876,5381,"Hauptnetz","ewb","Strassenlampe","ja","08.05.23",NA,1
"25",38,"Spiegel",4692607,743739,"20b8a59ebf60",25999053,11972189,6198,"Hauptnetz","Gemeinde Koniz","Strassenlampe","nein","09.05.23",NA,1
"26",39,"Weyermannshaus Industrie",46949,740134,"444fdf760afa",25971603,11997578,5459,"Hauptnetz","ewb","Strassenlampe","ja","12.05.23",NA,1
"27",41,"Monbijou-Park",4694187,743462,"8032b80c5ec1",25996945,11989759,5214,"Hauptnetz","Stadtgrun","Kandelaber FaLLT 2022 AUS","nein","10.05.23",NA,1
