Log_NR;STANDORT;Code_grafana;NORD_CHTOPO;OST_CHTOPO;LV_03_N;LV_03_E;HuM;Art;ZUSTAENDIG;BEFESTIGUNG;Nr_Strassenlaterne;LCZ;Start;End;Quali
Log_438;Schwäbis;f491c5e3798a;46.76616;7.6223;1179459;2614030;;Steffisburg;NetZulg AG;Strassenlaterne;503;05. Jun;24.04.2024;;1
Log_413;Aarequai;678bd7580436;46.75683;7.63252;1178424;2614813;;Thun Grundmessnetz;Energie Thun AG;Betonpfahl;-;G;29.04.2024;;1
Log_427;Uttigenstrasse;ea2340236629;46.76287;7.61278;1179091;2613303;;Thun Variabel;Energie Thun AG;Strassenlaterne;5641;8;29.04.2024;;1
Log_409;Scheibenstrasse;f5392277f521;46.76011;7.62234;1178786;2614034;;Thun Grundmessnetz;Energie Thun AG;Strassenlaterne;5285;5;29.04.2024;;1
Log_416;ESP Thun Bahnhof;a2f6a9877dd7;46.7496;7.63395;1177620;2614924;;Thun Grundmessnetz;Energie Thun AG;Kandelaber;1275;E;26.04.2024;;1
Log_418;Schadau;ddc76ade24ac;46.74619;7.63853;1177242;2615275;;Thun Grundmessnetz;Einwohnergemeinde Thun;Mast Schiffahrtsignal;-;G/B;26.04.2024;;1
Log_423;Schoren;8b66193068c3;46.7316;7.61812;1175616;2613719;;Thun Grundmessnetz;Energie Thun AG;Strassenlaterne;3063;8;29.04.2024;;1
Log_421;Neufeld;1d959f0c51a6;46.73948;7.61728;1176492;2613653;;Thun Grundmessnetz;Energie Thun AG;Strassenlaterne;2699;6;26.04.2024;;1
Log_428;Expo;b9471e20fc27;46.7577;7.61767;1178518;2613678;;Thun Variabel;Energie Thun AG;Strassenlaterne;5490;08. Feb;29.04.2024;;1
Log_429;SchönauWestquartier;d2ef7719af35;46.7517;7.61156;1177850;2613213;;Thun Variabel;Energie Thun AG;Strassenlaterne;1374;5;29.04.2024;;1
Log_414;Busbahnhof;;46.75517;7.62994;1178239;2614616;;Thun Grundmessnetz;Energie Thun AG;Strassenlaterne;4117;E/2;26.04.2024;;1
Log_432;Flühli;ff8e4421c522;46.78555;7.63076;1181616;2614671;;Steffisburg;NetZulg AG;Strassenlaterne;934;6;24.04.2024;;1
Log_433;Zelgmatt;83b898acc49d;46.77786;7.63956;1180763;2615345;;Steffisburg;NetZulg AG;Strassenlaterne;1249;6;24.04.2024;;1
